"Name";"List of interests-value";"List of studies-value";"Professional Experience-value"
"hugo 32";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University Paris-Dauphine, Paris"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris, Paris"",""country or city"":""Paris"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""JUN 2024 - AUG 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""JAN 2024 - MAY 2024"",""company"":""not found"",""job title"":""Private Equity Analyst (Part-time), Student Investment Fund"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 31";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University Paris-Dauphine at Paris"",""country or city"":""Paris, Île-de-France"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris at Paris"",""country or city"":""not found"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Aug 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 30";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University Paris-Dauphine, Paris"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris, Paris"",""country or city"":""Paris"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Aug 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""Jan 2024 - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 29";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"{""studies"":[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis"",""country or city"":""Paris, Paris"",""level_of_degree"":""French Baccalauréat""}]}";"[{""dates"":""Jun 2024 - Aug 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""Jan 2024 - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 28";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis"",""country or city"":""Paris, Paris"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Aug 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""Jan 2024 - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 27";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021 to 2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris"",""country or city"":""Paris"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 to Aug 2024"",""company"":""Société Générale CIB, Paris"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""Jan 2024 to May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 26";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021 -2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis, Paris"",""country or city"":""Paris"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Aug 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""Jan 2024 - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 25";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"{""studies"":[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycée Saint-Louis"",""country or city"":""Paris"",""level_of_degree"":""French Baccalauréat""}]}";"[{""dates"":""Jun 2024 - Aug 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""Jan 2024 - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 24";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University Paris-Dauphine, Paris"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycée Saint-Louis, Paris, Paris"",""country or city"":""Paris"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""Jun 2024 - Aug 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""Jan 2024 - May 2024"",""company"":""not found"",""job title"":""Private Equity Analyst (Part-time), Student Investment Fund"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 23";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"{""studies"":[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""not found"",""university"":""Lycée Saint-Louis, Paris"",""country or city"":""Paris"",""level_of_degree"":""French Baccalauréat""}]}";"[{""dates"":""Jun 2024 - Aug 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""Jan 2024 - May 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
"hugo 22";"{""interests"":[""Stock market investing"",""chess"",""marathon training""]}";"[{""dates"":""2021 - 2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""2021"",""field"":""Mathematics & Physics"",""university"":""Lycée Saint-Louis"",""country or city"":""Paris, Paris"",""level_of_degree"":""French Baccalauréat""}]";"[{""dates"":""JUN 2024 - AUG 2024"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation.\n\nPrepared pitchbooks and market analysis for M&A transactions.\n\nConducted comparable companies and precedent transactions analyses."",""country or city"":""Paris""},{""dates"":""JAN 2024 - MAY 2024"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs.\n\nBuilt LBO models and investment memos."",""country or city"":""not found""}]"
